coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3,liquidity_ratio_lag1,price_lag1,24h_volume_lag1,mkt_cap_lag1,price_ret_1d,vol_chg_1d,mcap_chg_1d,log_price,log_vol,log_mcap
Alien Worlds,TLM,0.096545880435,0.036,0.039,-0.002,44383919.0,119120382.0,2022-03-16,coin_gecko_2022-03-16.csv,0.3725971849217206,0.096545880435,0.096545880435,,0.3725971849217206,,,,,,,,0.09216513062240676,17.608387799643737,18.59564516157999
Alien Worlds,TLM,0.099181828389,0.008,0.0279999999999999,-0.019,53533075.0,123122031.0,2022-03-17,coin_gecko_2022-03-17.csv,0.4347968805030515,0.09786385441199999,0.09786385441199999,0.001863896673128213,0.40369703271238605,0.3725971849217206,0.096545880435,44383919.0,119120382.0,0.02730254198442645,0.20613673163922275,0.033593319067764575,0.09456611067990237,17.795810263823423,18.628686551582227
AllianceBlock,ALBT,0.222035,0.025,0.075,0.046,594392.0,85612394.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0069428265257948,0.222035,0.222035,,0.0069428265257948,,,,,,,,0.20051750191043638,13.295295995734916,18.26534063203113
AllianceBlock,ALBT,0.229837,-0.003,0.038,0.053,380133.0,88953339.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0042733977641918,0.22593600000000003,0.22593600000000003,0.005516847106817436,0.0056081121449933005,0.0069428265257948,0.222035,594392.0,85612394.0,0.03513860427410094,-0.36046750292736107,0.03902408102266128,0.20688164027752876,12.848279101121614,18.3036225205561
Alpha Finance,ALPHA,0.279294,0.018,0.054,0.021,7405255.0,124373230.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0595405860248222,0.279294,0.279294,,0.0595405860248222,,,,,,,,0.24630836326497463,15.817700576322116,18.638797530226302
Alpha Finance,ALPHA,0.280024,0.003,0.004,-0.003,5728562.0,125007857.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0458256155851067,0.279659,0.279659,0.0005161879502661856,0.05268310080496445,0.0595405860248222,0.279294,7405255.0,124373230.0,0.0026137331987082014,-0.2264193468016969,0.005102601259129477,0.24687882775574674,15.560975271898705,18.643887157290717
Alpine F1 Team Fan Token,ALPINE,8.76,0.003,0.049,1.7180000000000002,153521893.0,99922202.0,2022-03-16,coin_gecko_2022-03-16.csv,1.5364142295422991,8.76,8.76,,1.5364142295422991,,,,,,,,2.278292400425001,18.849353746742384,18.419902471176663
Alpine F1 Team Fan Token,ALPINE,10.0,0.002,0.142,0.953,226663985.0,114038968.0,2022-03-17,coin_gecko_2022-03-17.csv,1.9876011592809224,9.379999999999999,9.379999999999999,0.8768124086713197,1.7620076944116108,1.5364142295422991,8.76,153521893.0,99922202.0,0.14155251141552513,0.47642776265141545,0.14127757112478365,2.3978952727983707,19.238979240925794,18.5520507812804
Amp,AMP,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0067435802547829,0.025036137658,0.025036137658,,0.0067435802547829,,,,,,,,0.024727868220591788,15.905487902639367,20.90465207980396
Amp,AMP,0.025125131288,-0.002,0.005,-0.033,6754386.0,1207186380.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0055951476192102,0.025080634473,0.025080634473,6.292799925540593e-05,0.00616936393699655,0.0067435802547829,0.025036137658,8084731.0,1198878147.0,0.0035546069931262836,-0.16455031095035816,0.00693000620687767,0.024814684444665367,15.72570277766425,20.911558183876476
Ampleforth,AMPL,1.12,0.019,0.146,0.235,9846521.0,91484573.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1076303979688466,1.12,1.12,,0.1076303979688466,,,,,,,,0.7514160886839212,16.102628854348342,18.331680925868895
Ampleforth,AMPL,1.07,0.0,-0.049,0.104,1359111.0,88008725.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0154429120521857,1.0950000000000002,1.0950000000000002,0.03535533905932749,0.06153665501051615,0.1076303979688466,1.12,9846521.0,91484573.0,-0.04464285714285718,-0.8619704360555368,-0.037993815634904914,0.7275486072772778,14.12234210327684,18.292946526617452
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1331495014676003,3.1,3.1,,0.1331495014676003,,,,,,,,1.410986973710262,18.493240307225268,20.509523010033867
Anchor Protocol,ANC,2.85,-0.005,-0.083,-0.335,77859396.0,754479150.0,2022-03-17,coin_gecko_2022-03-17.csv,0.103196219537677,2.975,2.975,0.1767766952966369,0.11817286050263864,0.1331495014676003,3.1,107525684.0,807556039.0,-0.08064516129032258,-0.27589955158992524,-0.06572533228248201,1.3480731482996928,18.170415155446673,20.441538202920935
Ankr,ANKR,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0694270505830107,0.072181812557,0.072181812557,,0.0694270505830107,,,,,,,,0.06969564953379973,17.523928045549003,20.191406732294656
Ankr,ANKR,0.072733294373,0.001,0.0069999999999999,-0.05,21277459.0,594634282.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0357824290392998,0.07245755346499999,0.07245755346499999,0.0003899565317946741,0.05260473981115525,0.0694270505830107,0.072181812557,40789205.0,587511707.0,0.00764017688755746,-0.4783556335554959,0.012123290336408564,0.0702098720560528,16.873158854411383,20.203457124114728
Ankr Reward-Bearing Staked ETH,AETHC,2196.39,0.021,0.002,-0.02,1309490.0,116894099.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0112023618916811,2196.39,2196.39,,0.0112023618916811,,,,,,,,7.695025571423623,14.085149070054051,18.57677895468102
Ankr Reward-Bearing Staked ETH,AETHC,2254.71,0.005,0.027,-0.035,103476.0,120703323.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0008572754869391,2225.55,2225.55,41.23846747879941,0.0060298186893101,0.0112023618916811,2196.39,1309490.0,116894099.0,0.026552661412590738,-0.9209799234816608,0.03258696574580724,7.721220058255901,11.547104644770322,18.608846225042328
ApeCoin,APE,7.72,0.05,-0.255,0.0,1129583103.0,794922002.0,2022-03-17,coin_gecko_2022-03-17.csv,1.4209986642186312,7.72,7.72,,1.4209986642186312,,,,,,,,2.1656192379208883,20.845114467084304,20.4937545583716
Aragon,ANT,4.62,0.027,0.05,0.051,31404911.0,176410722.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1780215547216002,4.62,4.62,,0.1780215547216002,,,,,,,,1.7263316639055997,17.262474871765114,18.98832548767131
Aragon,ANT,4.6,0.005,-0.0069999999999999,-0.032,20342438.0,174947342.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1162774910864321,4.609999999999999,4.609999999999999,0.014142135623730963,0.14714952290401614,0.1780215547216002,4.62,31404911.0,176410722.0,-0.004329004329004429,-0.35225296451246113,-0.008295300781094247,1.7227665977411035,16.828219852900304,18.979995589466302
Ardor,ARDR,0.192938,0.0139999999999999,0.02,-0.011,6272018.0,191059042.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0328276428811989,0.192938,0.192938,,0.0328276428811989,,,,,,,,0.17641917194132778,15.651608870344527,19.068093063895862
Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344.0,194331101.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0258288250010995,0.19368249999999998,0.19368249999999998,0.0010528819971867723,0.029328233941149202,0.0328276428811989,0.192938,6272018.0,191059042.0,0.007717505105266927,-0.19972423548529356,0.017125904985957167,0.17766657247964068,15.428810005067257,19.08507397359103
Ark,ARK,0.834377,0.0069999999999999,0.017,-0.0279999999999999,2749604.0,137522294.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0199938782289364,0.834377,0.834377,,0.0199938782289364,,,,,,,,0.6067049143233381,14.826967822962427,18.73929660738129
Ark,ARK,0.855048,0.008,0.024,-0.053,2191914.0,139681382.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0156922416474945,0.8447125,0.8447125,0.01461660427390716,0.01784305993821545,0.0199938782289364,0.834377,2749604.0,137522294.0,0.02477417282595277,-0.2028255705185183,0.015699912626530213,0.617910571735402,14.60028614892592,18.754874551209298
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0309192223954306,32.52,32.52,,0.0309192223954306,,,,,,,,3.5121422756138823,17.74018011755271,21.216557302912616
Arweave,AR,33.62,0.016,0.034,-0.107,39217699.0,1683869236.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0232902283393221,33.07,33.07,0.7778174593051983,0.02710472536737635,0.0309192223954306,32.52,50636342.0,1637697784.0,0.03382533825338235,-0.22550292041237893,0.028192901310050256,3.544431549748063,17.484638733463665,21.24436009951408
AscendEx Token,ASD,0.210282,0.006,-0.012,-0.03,2234800.0,154656421.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0144500951564112,0.210282,0.210282,,0.0144500951564112,,,,,,,,0.19085339030612725,14.619662744034365,18.856716582259683
AscendEx Token,ASD,0.209002,-0.002,-0.001,-0.047,1996023.0,155507488.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0128355426846069,0.209642,0.209642,0.0009050966799187831,0.01364281892050905,0.0144500951564112,0.210282,2234800.0,154656421.0,-0.006087064037815901,-0.10684490782172901,0.005502952897118963,0.1897952258910061,14.506667759829353,18.862204449195573
Astar,ASTR,0.10323,0.009,0.0069999999999999,0.032,7991761.0,205235595.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0389394490755855,0.10323,0.10323,,0.0389394490755855,,,,,,,,0.09824224074577945,15.89392181908732,19.13966912600232
Astar,ASTR,0.107755,-0.001,0.044,0.027,8916820.0,218062741.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0408910754726319,0.1054925,0.1054925,0.0031996581848691284,0.0399152622741087,0.0389394490755855,0.10323,7991761.0,205235595.0,0.04383415673738256,0.11575158466325507,0.06249961659915767,0.10233544474107807,16.003450050899605,19.200293386684226
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169.0,249658255.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0239974800753133,2.02,2.02,,0.0239974800753133,,,,,,,,1.1052568313867783,15.605797276560653,19.3356035646625
Astroport,ASTRO,1.81,-0.002,-0.104,0.095,8759702.0,227045274.0,2022-03-17,coin_gecko_2022-03-17.csv,0.038581300749735,1.915,1.915,0.14849242404917495,0.031289390412524154,0.0239974800753133,2.02,5991169.0,249658255.0,-0.10396039603960394,0.46210230424145937,-0.09057573922400443,1.0331844833456545,15.985672558228227,19.24066000489751
Audius,AUDIO,0.735289,0.027,0.026,0.02,7909768.0,447883958.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0176603065564585,0.735289,0.735289,,0.0176603065564585,,,,,,,,0.551173970132667,15.883609135777581,19.920044736738475
Audius,AUDIO,0.743362,0.001,0.01,-0.046,6575647.0,457745959.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0143652759149753,0.7393255,0.7393255,0.0057084730445189965,0.016012791235716903,0.0176603065564585,0.735289,7909768.0,447883958.0,0.010979356416320654,-0.1686675260260478,0.02201909852730202,0.5558154328681737,15.698883686304944,19.941824915701684
Augur,REP,13.43,0.019,0.02,-0.015,7904878.0,93213520.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0848039855162641,13.43,13.43,,0.0848039855162641,,,,,,,,2.6693093727857793,15.882990721740692,18.35040334424074
Augur,REP,13.56,0.001,0.01,-0.0409999999999999,5896456.0,94396497.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0624647755731867,13.495000000000001,13.495000000000001,0.0919238815542511,0.0736343805447254,0.0848039855162641,13.43,7904878.0,93213520.0,0.009679821295606909,-0.25407375041082225,0.01269104524751345,2.67827804276854,15.589862220023942,18.363014532969974
Aurora,AURORA,6.85,-0.001,-0.02,-0.059,1292731.0,155499279.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0083134211831297,6.85,6.85,,0.0083134211831297,,,,,,,,2.060513531794317,14.07226836635569,18.862151659347763
Aurora,AURORA,7.35,-0.001,0.072,-0.069,1298850.0,167615843.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0077489691711302,7.1,7.1,0.3535533905932738,0.008031195177129951,0.0083134211831297,6.85,1292731.0,155499279.0,0.07299270072992702,0.004733390009213054,0.07792038701349863,2.122261538862764,14.076990585455606,18.93718527615035
Aurory,AURY,8.02,0.006,0.002,-0.008,1527291.0,76264310.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0200262875255804,8.02,8.02,,0.0200262875255804,,,,,,,,2.199444334074532,14.239006790543117,18.149715641087024
Aurory,AURY,8.09,-0.001,0.008,0.004,1438567.0,76843664.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0187206976491907,8.055,8.055,0.049497474683058526,0.01937349258738555,0.0200262875255804,8.02,1527291.0,76264310.0,0.00872817955112223,-0.05809240020402137,0.007596659564611546,2.2071749081893874,14.17915873231981,18.15728359123942
Automata,ATA,0.367835,0.031,0.0409999999999999,0.035,10518480.0,83514063.0,2022-03-16,coin_gecko_2022-03-16.csv,0.125948608200274,0.367835,0.367835,,0.125948608200274,,,,,,,,0.3132291978908133,16.16864436321338,18.240525606775876
Automata,ATA,0.368096,0.004,0.004,-0.003,3784037.0,83651315.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0452358340093039,0.3679655,0.3679655,0.0001845548698896576,0.08559222110478895,0.125948608200274,0.367835,10518480.0,83514063.0,0.0007095572743212465,-0.6402486861219492,0.0016434597368349807,0.3134199921767743,15.14630225138678,18.24216771749093
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0443087101974436,73.69,73.69,,0.0443087101974436,,,,,,,,4.313346214368975,20.580363693948073,23.69693769565104
Avalanche,AVAX,79.78,0.002,0.083,0.027,1386901493.0,21282040395.0,2022-03-17,coin_gecko_2022-03-17.csv,0.065167693851659,76.735,76.735,4.306280297426077,0.054738202024551305,0.0443087101974436,73.69,866838890.0,19563622731.0,0.08264350658162578,0.599953012029721,0.0878373953346095,4.391729410135267,21.050337954848565,23.781129380094026
Avalaunch,XAVA,3.78,0.0289999999999999,0.032,-0.022,709787.0,84389747.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0084108203334227,3.78,3.78,,0.0084108203334227,,,,,,,,1.5644405465033644,13.47272161288087,18.250956482993892
Avalaunch,XAVA,3.92,-0.002,0.034,-0.024,1323970.0,86912829.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0152333092275709,3.8499999999999996,3.8499999999999996,0.0989949493661169,0.0118220647804968,0.0084108203334227,3.78,709787.0,84389747.0,0.03703703703703707,0.8653060706944478,0.029897968529281168,1.5933085305042167,14.096146111915946,18.280416220304392
Axie Infinity,AXS,50.46,0.036,0.062,0.089,288996469.0,3733676299.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0774026578247832,50.46,50.46,,0.0774026578247832,,,,,,,,3.940804806853598,19.481925031469235,22.04065918843135
Axie Infinity,AXS,50.9,0.006,0.01,0.044,229754416.0,3771229668.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0609229445635555,50.68,50.68,0.3111269837220793,0.06916280119416934,0.0774026578247832,50.46,288996469.0,3733676299.0,0.00871977804201343,-0.2049923073627588,0.010058014137448931,3.949318790171843,19.252521544260098,22.0506669573723
BENQI,QI,0.049616183289,0.036,0.011,-0.023,9851172.0,77090931.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1277863929286312,0.049616183289,0.049616183289,,0.1277863929286312,,,,,,,,0.04842455761873939,16.103101092352478,18.160496218127573
BENQI,QI,0.050743317046,0.0,0.024,-0.048,8530801.0,79411049.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1074258696670786,0.050179750167499995,0.050179750167499995,0.0007970039228789726,0.1176061312978549,0.1277863929286312,0.049616183289,9851172.0,77090931.0,0.0227170588764309,-0.1340318695075063,0.03009586172983175,0.04949783470775001,15.959193936150148,18.190148085300034
